Date,open,high,low,close,volume
2011-03-22,451.64,457.03,451.23,454.64,4519732
2011-03-23,454.73,462.37,452.89,460.83,5270322
2011-03-24,462.03,464.78,456.55,459.49,5184456
2011-03-25,465.67,468.42,459.35,466.9,7103608
2011-03-28,466.74,471.33,461.31,466.49,8805198
2011-03-29,463.9,469.36,463.72,465.15,8354066
2011-03-30,467.31,471.86,465.76,469.58,5656801
2011-03-31,470.49,479.77,470.49,477.13,14538613
2011-04-01,477.11,484.77,468.9,471.36,8663538
2011-04-04,472.99,479.72,467.99,477.84,6051061
2011-04-05,478.68,481.63,472.99,476.47,4964260
2011-04-06,475.27,479.47,472.99,475.2,4191928
2011-04-07,475.29,476.43,470.77,473.86,4690528
2011-04-08,473.9,477.95,464.19,465.67,5536031
2011-04-11,460.71,463.65,456.46,457.21,5213369
2011-04-13,455.64,465.72,453.26,464.72,8822291
2011-04-15,463.28,466.1,457.08,464.33,6541425
2011-04-18,463.53,475.13,455.07,458.96,6827310
2011-04-19,456.94,462.74,454.23,460.1,5548593
2011-04-20,462.08,468.67,458.53,466.58,4760561
2011-04-21,470.63,474.9,468.45,473.27,6892223
2011-04-25,461.17,464.35,457.14,459.05,8371144
2011-04-26,458.89,458.89,453.69,455.32,8146584
2011-04-27,457.08,458.94,445.75,448.48,11403773
2011-04-28,451.16,451.62,441.16,442.25,16481230
2011-04-29,443.43,449.34,441.75,447.41,6893126
2011-05-02,447.48,448.8,437.2,438.77,6280802
2011-05-03,438.93,439.98,427.99,429.29,10166156
2011-05-04,429.79,435.13,427.51,430.99,5384888
2011-05-05,433.45,441.96,432.83,435.72,9037540
2011-05-06,437.12,440.33,435.33,438.06,5960945
2011-05-09,440.33,443.1,436.38,440.01,3697955
2011-05-10,440.01,442.12,434.16,436.08,3758167
2011-05-11,437.57,439.59,432.76,438.24,3782919
2011-05-12,436.43,437.92,431.61,433.68,4254560
2011-05-13,433.56,441.24,430.21,434.82,6417629
2011-05-16,435.74,436.38,431.86,433.45,3234259
2011-05-17,433.74,434.27,420.72,422.28,8022731
2011-05-18,421.98,423.75,412.05,413.65,11452028
2011-05-19,416.66,422.9,414.99,419.92,8340495
2011-05-20,421.27,424.64,417.53,423.45,6402610
2011-05-23,421.52,422.9,414.32,417.12,6847126
2011-05-24,415.56,422.39,415.56,420.03,5126067
2011-05-25,419.27,419.27,413.27,415.56,6051311
2011-05-26,418.59,429.71,417.9,428.33,13845822
2011-05-27,428.45,437.07,428.45,433.65,6984579
2011-05-30,435.26,437.12,428.52,430.63,3490998
2011-05-31,433.45,438.45,429.91,436.59,6499455
2011-06-01,436.66,439.71,432.83,434.27,3711757
2011-06-02,429.57,437.9,429.57,436.22,4346741
2011-06-03,440.56,443.54,427.25,428.68,8819371
2011-06-06,428.7,431.52,425.72,430.12,2838132
2011-06-07,428.19,440.33,428.19,439.52,8128161
2011-06-08,438.15,438.47,432.97,435.37,6555633
2011-06-09,434.59,439.34,434.36,437.57,4223700
2011-06-10,438.08,438.49,427.51,433.22,5108238
2011-06-13,432.64,432.64,422.44,424.55,5964135
2011-06-14,424.41,427.37,417.39,418.01,8753313
2011-06-15,418.31,421.48,412.16,413.06,9302320
2011-06-16,413.27,413.27,405.51,407.1,11523259
2011-06-17,408.82,409.73,396.84,398.47,10166701
2011-06-20,401.34,401.34,379.83,382.19,13983460
2011-06-21,385.24,392.17,384.05,389.25,8036440
2011-06-22,391.41,393.61,382.6,387.95,9279653
2011-06-23,388.29,400.28,387.99,399.28,9559447
2011-06-24,400.95,403.5,392.44,399.69,14615848
2011-06-27,397.53,404.46,395.31,399.76,6622232
2011-06-28,403.13,403.13,395.38,399.55,4716364
2011-06-29,401.66,407.3,400.01,406.04,5736737
2011-06-30,407.62,413.72,406.84,412.12,10035182
2011-07-01,416.02,416.02,392.95,395.35,13234843
2011-07-04,401.06,403.36,396.75,398.31,7614522
2011-07-05,398.73,398.73,387.12,388.02,15601356
2011-07-06,389.35,393.77,385.61,391.2,12404150
2011-07-07,393.54,401.29,392.28,399.37,9293675
2011-07-08,400.42,400.88,390.79,392.1,9662670
2011-07-11,391.71,394.44,388.5,391.39,4429848
2011-07-12,388.73,393.27,387.9,388.84,6030136
2011-07-13,391.27,398.91,390.38,396.96,7859236
2011-07-14,395.97,402.67,394.16,397.92,6143731
2011-07-15,397.99,401.8,396.75,400.51,4710180
2011-07-18,399.92,400.83,396.39,397.95,3037944
2011-07-19,397.9,404.28,397.21,403.38,4533226
2011-07-20,406.38,406.75,398.5,401.89,5159636
2011-07-21,401.78,401.78,393.34,394.85,3639468
2011-07-22,397.21,402.26,395.61,400.58,7062704
2011-07-25,409.14,409.14,403.24,404.94,10109253
2011-07-26,407.42,408.29,398.77,399.73,9443217
2011-07-27,401.34,401.34,394.07,394.85,6311391
2011-07-28,392.17,392.17,382.26,384.07,14444657
